station_id,true_opnid,opnids,comments,modeled,repo_name,wplmn_flag,source
E01001001,,,,,SuperiorNorth,0.0,wiski
E01005001,,,,,SuperiorNorth,0.0,wiski
E01008001,,,,,SuperiorNorth,0.0,wiski
E01008002,,,,,SuperiorNorth,0.0,wiski
E73058001,,,,,Vermilion,0.0,wiski
E02002001,,,,,SuperiorSouth,0.0,wiski
E73064001,,,,,Vermilion,0.0,wiski
E03012001,,,,,StLouisCloquet,0.0,wiski
E03013002,,,,,StLouisCloquet,0.0,wiski
E03084002,,,,,StLouisCloquet,0.0,wiski
E03112001,,,,,StLouisCloquet,0.0,wiski
E03119002,,,,,StLouisCloquet,0.0,wiski
E03129001,,,,,StLouisCloquet,0.0,wiski
H09075001,,,,,MissGrandRapids,0.0,wiski
E03132001,,,,,StLouisCloquet,0.0,wiski
E03137001,,,,,StLouisCloquet,0.0,wiski
E03145001,,,,,StLouisCloquet,0.0,wiski
E10089001,,,,,MissBrainerd,0.0,wiski
E12016001,,,,,CrowWing,0.0,wiski
E03163017,,,,,StLouisCloquet,0.0,wiski
E03163018,,,,,StLouisCloquet,0.0,wiski
E03174001,502.0,502,,,StLouisCloquet,1.0,wiski
E03175001,,,,,StLouisCloquet,0.0,wiski
E04042001,,,,,StLouisCloquet,0.0,wiski
E05013001,,,,,Nemadji,0.0,wiski
E05013002,,,,,Nemadji,0.0,wiski
E07008001,,,,,MissHeadwaters,0.0,wiski
E09005001,,,,,MissGrandRapids,0.0,wiski
E09020001,151.0,151,"Despite name, gauge is not on the Prairie River, should double check with load monitoring",,MissGrandRapids,1.0,wiski
E09029001,,,,,MissGrandRapids,0.0,wiski
E09033001,,,,,MissGrandRapids,0.0,wiski
E09064001,220.0,220,Inflows from other model. Probably should use this station for the MissHeadwaters model for reach 650,,MissGrandRapids,1.0,wiski
E10015001,110.0,110,,,MissBrainerd,1.0,wiski
E10048001,,,,,MissBrainerd,0.0,wiski
E10082002,,,,,MissBrainerd,0.0,wiski
E12043001,,,,,CrowWing,0.0,wiski
E12085001,557.0,557,,,CrowWing,1.0,wiski
E15001002,610.0,610,,,MissSartell,1.0,wiski
E16058004,470.0,470,,,Sauk,0.0,wiski
E17001001,790.0,"770,390",,,MissStCloud,0.0,wiski
E17022001,10.0,10,,,MissStCloud,0.0,wiski
